Timestamp (UNIX epoch),162.218.218.163 Score,73.223.253.232 Score,34.101.77.203 Score,64.187.175.226 Score,144.137.29.181 Score,72.206.123.63 Score,198.199.82.190 Score,157.90.130.44 Score,120.79.71.72 Score,139.59.145.220 Score,15.228.89.32 Score,150.136.83.181 Score,159.223.217.27 Score,195.228.75.150 Score,38.242.242.88 Score,65.21.125.44 Score,85.215.9.88 Score,93.115.27.167 Score,95.111.229.184 Score,
1684690074.740531,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,
1684690075.808723,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,
1684690076.806708,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,
1684690077.766604,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,
1684690078.745003,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,
1684690079.720172,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,
1684690080.742935,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,
1684690081.763096,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,
1684690082.761471,0,0,0.0,0,0,7.369173899067824,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,
1684690083.738719,0,0,0.0,0,0,7.3618047251687555,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,
1684690084.744485,0,0,0.0,0,0,7.704330416425586,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,
1684690085.735627,0,0,0.0,0,0,7.696626086009161,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,
1684690086.759708,0,0,0.0,0,0,7.688929459923152,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,
1684690087.734357,0,0,0.0,0,0,7.681240530463229,1.5551269688203149,0,0.0,0,0,0,0.0,0,0,0,0,0,0,
1684690088.732122,0,0,0.0,0,0,7.673559289932766,1.5535718418514946,0,0.0,0,0,0,0.0,0,0,0,0,0,0,
1684690089.734435,0,0,0.0,0,0,27.143384927042703,1.552018270009643,0,0.0,0,0,0,0.0,0,0,0,0,0,0,
1684690090.735807,0,0,0.0,0,0,27.11624154211566,1.5504662517396333,0,0.0,0,0,0,0.0,0,0,0,0,0,0,
1684690091.735898,0,0,0.0,0,0,27.089125300573542,1.5489157854878937,0,0.0,0,0,0,0.0,0,0,0,0,0,0,
1684690092.735197,0,0,0.0,0,0,40.527267076376575,1.5473668697024057,0,0.0,0,0,0,0.0,0,0,0,0,0,0,
1684690093.732289,0,0,0.0,0,0,40.4867398093002,2.6894496324801906,0,0.0,0,0,0,0.0,0,0,0,0,0,0,
1684690094.735641,0,0,0.0,0,0,40.44625306949089,6.2756383570682175,0,0.0,0,0,0,0.0,0,0,0,0,0,0,
1684690095.752933,0,0,0.0,0,0,40.4058068164214,6.269362718711149,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,
1684690096.730847,0,0,0.0,0,0,40.36540100960498,17.28816568000401,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,
1684690097.754812,0,0,0.0,0,0,40.32503560859538,17.270877514324006,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,
1684690098.731743,0,0,0.0,0,0,40.28471057298678,17.253606636809682,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,
1684690099.784702,0,0,0.0,0,0,40.2444258624138,37.82737413806959,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,
1684690100.739339,0,0,0.0,0,0,40.20418143655139,37.78954676393152,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,
1684690101.735643,0,0,0.0,0,0.0,40.16397725511484,37.75175721716759,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,
1684690102.721104,0,0,0.0,0.0,0.0,40.123813277859725,37.71400545995042,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,
1684690103.733209,0,0.0,0.0,0.0,0.0,49.365431669660616,37.67629145449047,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,
1684690104.740298,0,1.1664523732990464,0.0,0.0,0.0,49.31606623799095,37.63861516303598,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,
1684690105.735389,0,1.1652859209257473,0.0,0.0,0.0,49.26675017175296,37.600976547872946,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,
1684690106.730327,0,6.705639974981249,0.0,0.0,0.0,49.21748342158121,37.563375571325075,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,
1684690107.732113,0,6.698934335006268,0.0,0.0,0.0,49.16826593815963,40.67721045997747,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,
1684690108.735463,0,6.692235400671262,0.0,0.0,0.0,49.11909767222147,40.6365332495175,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,
1684690109.757821,0,6.68554316527059,0.0,0.0,0.0,49.06997857454925,40.59589671626798,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,
1684690110.766299,0,6.678857622105319,0.0,0.0,6.704810886103075,49.0209085959747,40.55530081955171,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,
1684690111.778943,0,18.65958902913552,0.12964748741026463,0.0,7.199820422157933,49.30511387402825,40.51474551873216,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,
1684690112.746629,0,18.640929440106387,0.12951783992285437,0.0,25.201620923175827,49.255808760154224,40.47423077321343,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,
1684690113.7412,0,18.62228851066628,0.12938832208293152,0.0,25.17641930225265,49.20655295139407,40.433756542440214,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,
1684690114.738237,0,18.603666222155613,0.1292589337608486,0.0,25.1512428829504,49.15734639844268,40.39332278589777,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,
1684690115.748131,0,18.585062555933458,0.12912967482708776,0.0,25.126091640067447,49.10818905204423,40.35292946311188,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,
